id_pista,fecha_carrera,numero_carrera,id_caballo,distancia,tipo_terreno,condicion_de_la_pista,distancia_en_pies,tipo_carrera,dinero_dos_decimales_USD,hora_de_carrera,peso_llevado,jockey,posibilidades_de_ganar,posicion
AQU,01/01/2019,9,6,600,D,1,48,CLM,25000,420,120,Andre Shivnarine Worrie,2090,8
AQU,19/04/2019,7,2,600,O,2,58,CLM,62000,442,120,Manuel Franco,335,2
BEL,25/05/2019,10,9,600,I,2,90,AOC,85000,624,121,Dylan Davis,2525,9
BEL,09/06/2019,6,6,600,I,2,112,CLM,60000,412,123,Manuel Franco,1300,8
SAR,27/07/2019,3,6,550,T,1,74,CLM,52000,210,122,Irad Ortiz Jr.,1210,10
AQU,10/02/2019,4,3,550,D,3,51,ALW,64000,228,121,Samuel Jimenez,3225,5
AQU,24/02/2019,3,1,600,D,4,50,CLM,36000,155,111,Heman K. Harkie,2900,4
AQU,05/04/2019,6,9,800,O,2,64,CLM,44000,410,117,Joey R. Martinez,5725,7
AQU,09/11/2019,3,11,850,O,2,35,CLM,38000,1255,114,Joey R. Martinez,2120,2
AQU,12/12/2019,2,5,800,D,1,54,CLM,28000,1259,123,Joey R. Martinez,1710,7
BEL,24/05/2019,4,4,850,T,2,130,CLM,42000,308,117,Joey R. Martinez,1780,4
BEL,02/06/2019,8,11,850,T,2,170,CLM,39000,519,117,Joey R. Martinez,2675,2
SAR,04/08/2019,6,10,600,D,3,48,CLM,52000,406,124,Rajiv Maragh,3425,11
AQU,19/01/2019,8,4,900,D,3,99,AOC,64000,400,120,Reylu Gutierrez,460,5
AQU,02/03/2019,9,1,800,D,3,54,CLM,25000,522,125,Rajiv Maragh,1200,5
AQU,20/12/2019,5,3,800,D,3,54,CLM,46000,229,122,Dylan Davis,1090,2
BEL,23/10/2019,3,7,850,D,5,48,CLM,32000,223,122,Dylan Davis,295,1
SAR,30/08/2019,2,2,900,D,3,78,CLM,34000,134,123,Jose L. Ortiz,330,3
